destination,date,passengers
WIEN-SCHWECHAT,2018-03-01,3967
ZURICH,2018-03-01,5754
FRANKFURT/MAIN,2018-03-01,7943
MUENCHEN,2018-03-01,9156
BARCELONA/EL PRAT,2018-03-01,4373
ADOLFO SUAREZ MADRID-BARAJAS,2018-03-01,4871
PARIS-CHARLES DE GAULLE,2018-03-01,4007
MILANO/MALPENSA,2018-03-01,5935
AMSTERDAM/SCHIPHOL,2018-03-01,7447
PORTO,2018-03-01,12584
LISBOA,2018-03-01,11985
LONDON/CITY,2018-03-01,7065
LONDON HEATHROW,2018-03-01,7250
LONDON STANSTED,2018-03-01,4893
WIEN-SCHWECHAT,2018-02-01,3232
ZURICH,2018-02-01,4327
FRANKFURT/MAIN,2018-02-01,6845
MUENCHEN,2018-02-01,7532
BARCELONA/EL PRAT,2018-02-01,3718
ADOLFO SUAREZ MADRID-BARAJAS,2018-02-01,4650
PARIS-CHARLES DE GAULLE,2018-02-01,3466
MILANO/MALPENSA,2018-02-01,5206
AMSTERDAM/SCHIPHOL,2018-02-01,6839
PORTO,2018-02-01,10761
LISBOA,2018-02-01,9175
LONDON/CITY,2018-02-01,5635
LONDON HEATHROW,2018-02-01,5717
LONDON STANSTED,2018-02-01,4397
WIEN-SCHWECHAT,2018-01-01,3701
ZURICH,2018-01-01,4696
FRANKFURT/MAIN,2018-01-01,7250
MUENCHEN,2018-01-01,7315
BARCELONA/EL PRAT,2018-01-01,3875
ADOLFO SUAREZ MADRID-BARAJAS,2018-01-01,5279
PARIS-CHARLES DE GAULLE,2018-01-01,4517
MILANO/MALPENSA,2018-01-01,5425
AMSTERDAM/SCHIPHOL,2018-01-01,6734
PORTO,2018-01-01,13673
LISBOA,2018-01-01,11038
LONDON/CITY,2018-01-01,6169
LONDON HEATHROW,2018-01-01,5525
LONDON STANSTED,2018-01-01,4281
WIEN-SCHWECHAT,2017-12-01,4249
GENEVA,2017-12-01,2047
ZURICH,2017-12-01,5625
FRANKFURT/MAIN,2017-12-01,7316
MUENCHEN,2017-12-01,8116
BERLIN-TEGEL,2017-12-01,2680
KOBENHAVN/KASTRUP,2017-12-01,2560
BARCELONA/EL PRAT,2017-12-01,3489
ADOLFO SUAREZ MADRID-BARAJAS,2017-12-01,4356
MALAGA/COSTA DEL SOL,2017-12-01,904
PALMA DE MALLORCA,2017-12-01,454
NICE-COTE D'AZUR,2017-12-01,1534
PARIS-CHARLES DE GAULLE,2017-12-01,4510
MILANO/MALPENSA,2017-12-01,5507
BERGAMO/ORIO AL SERIO,2017-12-01,2269
ROMA/FIUMICINO,2017-12-01,1704
AMSTERDAM/SCHIPHOL,2017-12-01,7053
WARSZAWA/CHOPINA,2017-12-01,1789
PORTO,2017-12-01,12872
LISBOA,2017-12-01,9462
ISTANBUL/ATATURK,2017-12-01,2196
LONDON GATWICK,2017-12-01,3919
LONDON/CITY,2017-12-01,6533
LONDON HEATHROW,2017-12-01,7043
LONDON STANSTED,2017-12-01,4230
WIEN-SCHWECHAT,2017-11-01,4311
GENEVA,2017-11-01,2690
ZURICH,2017-11-01,5672
FRANKFURT/MAIN,2017-11-01,9726
MUENCHEN,2017-11-01,9067
BERLIN-TEGEL,2017-11-01,3036
KOBENHAVN/KASTRUP,2017-11-01,2654
BARCELONA/EL PRAT,2017-11-01,4010
ADOLFO SUAREZ MADRID-BARAJAS,2017-11-01,5204
MALAGA/COSTA DEL SOL,2017-11-01,1430
PALMA DE MALLORCA,2017-11-01,1265
